longitude;time;latitude;date;month_number;climatology_avg;temperature_avg;calculated_temp_avg;climatology_max;temperature_max;calculated_temp_max;climatology_min;temperature_min;calculated_temp_min
-4.5;2020.875;5.5;11/2020;10;26.75;0.95;27.7;32.47;0.85;33.32;20.98;1.17;22.15
-4.5;2020.9583333333333;5.5;12/2020;11;26.55;1.28;27.83;32.21;0.88;33.09;20.96;1.71;22.67
-4.5;2021.0416666666663;5.5;1/2021;0;26.78;1.13;27.91;32.53;0.79;33.32;21.14;1.66;22.8
-4.5;2021.125;5.5;2/2021;1;27.69;0.81;28.5;33.31;0.38;33.69;22.12;1.24;23.36
-4.5;2021.2083333333333;5.5;3/2021;2;27.75;0.41;28.16;33.39;0.23;33.62;22.19;0.73;22.92
-4.5;2021.2916666666663;5.5;4/2021;3;27.55;1.19;28.74;33.21;1.19;34.4;21.94;1.2;23.14
-4.5;2021.375;5.5;5/2021;4;26.95;1.08;28.03;32.66;1.08;33.74;21.27;1.36;22.63
-4.5;2021.4583333333333;5.5;6/2021;5;25.7;1.23;26.93;31.32;1.56;32.88;20.2;1.15;21.35
-4.5;2021.5416666666663;5.5;7/2021;6;24.84;1.21;26.05;30.6;1.09;31.69;19.29;1.21;20.5
-4.5;2021.625;5.5;8/2021;7;24.48;1.46;25.94;30.18;1.4;31.58;18.9;1.3;20.2
-4.5;2021.7083333333333;5.5;9/2021;8;25.19;1.02;26.21;30.78;0.89;31.67;19.54;1.32;20.86
-4.5;2021.7916666666663;5.5;10/2021;9;26.08;1.26;27.34;31.63;1;32.63;20.39;1.54;21.93
-4.5;2021.875;5.5;11/2021;10;26.75;1.18;27.93;32.47;1.38;33.85;20.98;0.97;21.95
-4.5;2021.9583333333333;5.5;12/2021;11;26.55;1.75;28.3;32.21;2.13;34.34;20.96;1.48;22.44
-4.5;2022.0416666666663;5.5;1/2022;0;26.78;1.2;27.98;32.53;1.67;34.2;21.14;0.54;21.68
-4.5;2022.125;5.5;2/2022;1;27.69;1.23;28.92;33.31;1.21;34.52;22.12;1.33;23.45
-4.5;2022.2083333333333;5.5;3/2022;2;27.75;0.99;28.74;33.39;0.87;34.26;22.19;1.1;23.29
-4.5;2022.2916666666663;5.5;4/2022;3;27.55;0.74;28.29;33.21;0.66;33.87;21.94;0.74;22.68
-4.5;2022.375;5.5;5/2022;4;26.95;0.73;27.68;32.66;0.8;33.46;21.27;1.04;22.31
-4.5;2022.4583333333333;5.5;6/2022;5;25.7;0.89;26.59;31.32;1.2;32.52;20.2;0.84;21.04
-4.5;2022.5416666666663;5.5;7/2022;6;24.84;0.92;25.76;30.6;1.11;31.71;19.29;1.02;20.31
